worker_ID,head width (mm),task,painted,,,,,
KFSC11W14,1.763,NB,Y,,,,,
KFSC11W15,1.779,NB,Y,,,,,
KFSC11W16,1.731,NB,Y,,,,,
KFSC11W17,1.698,NB,Y,,,,,
,,,,,,,,
KFSC10W2,1.945,NB,Y,obscuriventris,,,,
KFSC10W3,1.924,NB,Y,,,,,
KFSC10W4,1.614,NB,Y,,,,,
KFSC10W5,1.987,NB,Y,,,,,
KFSC10W6,1.98,NB,N,,,,,
KFSC10W7,1.632,NB,N,,,,,
KFSC10W8,1.78,NB,N,,,,,
KFSC10W9,1.531,NB,N,,,,,
KFSC10W10,1.916,PF,Y,,,,,
KFSC10W11,1.668,PF,Y,,,,,
KFSC10W12,1.459,PF,Y,,,,,
KFSC10W13,1.762,PF,N,,,,,
KFSC10W14,1.779,PF,N,,,,,
KFSC10W15,1.941,PF,N,,,,,
KFSC10W16,1.758,PF,N,,,,,
KFSC10W17,1.818,PF,N,,,,,
,,,,,,,,
KFSC13W2,1.07,HC,Y,podzolica,,,,
KFSC13W3,1.063,HC,Y,,,,,
KFSC13W4,1.092,HC,Y,,,,,
KFSC13W5,1.094,HC,N,,,,,
KFSC13W6,1.158,HC,N,,,,,
